# Number of Datas 	 Time Interval (ms)
10000	5.000000
15000	1.000000
20000	71.000000
25000	50.000000
30000	41.000000
35000	102.000000
40000	8.000000
45000	1.000000
50000	8.000000
55000	175.000000
60000	53.000000
65000	89.000000
70000	106.000000
75000	201.000000
80000	170.000000
85000	46.000000
90000	165.000000
95000	80.000000
100000	273.000000
105000	7.000000
110000	23.000000
115000	86.000000
120000	286.000000
125000	130.000000
130000	28.000000
135000	153.000000
140000	455.000000
145000	36.000000
150000	1.000000
155000	16.000000
160000	181.000000
165000	637.000000
170000	208.000000
175000	51.000000
180000	17.000000
185000	214.000000
190000	138.000000
195000	478.000000
