# Number of Datas 	 Time Interval (ms)
10000	6.000000
15000	4.000000
20000	4.000000
25000	4.000000
30000	17.000000
35000	4.000000
40000	4.000000
45000	4.000000
50000	2.000000
55000	2.000000
60000	2.000000
65000	1.000000
70000	1.000000
75000	2.000000
80000	1.000000
85000	1.000000
90000	1.000000
95000	1.000000
100000	1.000000
105000	1.000000
110000	2.000000
115000	1.000000
120000	1.000000
125000	0.000000
130000	1.000000
135000	1.000000
140000	0.000000
145000	1.000000
150000	1.000000
155000	0.000000
160000	1.000000
165000	1.000000
170000	1.000000
175000	1.000000
180000	1.000000
185000	1.000000
190000	1.000000
195000	1.000000
