# Number of Datas 	 Time Interval (ms)
10000	15.000000
15000	63.000000
20000	14.000000
25000	88.000000
30000	124.000000
35000	146.000000
40000	64.000000
45000	36.000000
50000	184.000000
55000	252.000000
60000	6.000000
65000	36.000000
70000	16.000000
75000	335.000000
80000	84.000000
85000	365.000000
90000	52.000000
95000	96.000000
100000	401.000000
105000	158.000000
110000	26.000000
115000	223.000000
120000	176.000000
125000	34.000000
130000	357.000000
135000	160.000000
140000	296.000000
145000	624.000000
150000	570.000000
155000	642.000000
160000	187.000000
165000	585.000000
170000	66.000000
175000	46.000000
180000	559.000000
185000	766.000000
190000	785.000000
195000	795.000000
